hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
"Resort Hotel",1,174,2016,September,39,22,2,4,2,0,0,BB,FRA,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,126,0,2,Canceled,2016-08-25
"City Hotel",1,220,2015,October,42,17,2,1,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"No Deposit",3,NULL,0,Transient-Party,65,0,0,Canceled,2015-10-08
"Resort Hotel",0,230,2017,August,31,1,0,3,2,0,1,BB,CN,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient-Party,154,0,2,Check-Out,2017-08-04
"City Hotel",0,48,2015,September,37,11,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,60,0,0,Check-Out,2015-09-14
"City Hotel",0,56,2016,March,10,3,1,3,2,0,0,BB,ESP,Groups,Corporate,0,0,0,A,A,0,"No Deposit",NULL,NULL,0,Transient-Party,72,0,0,Check-Out,2016-03-07
"City Hotel",1,330,2015,September,37,12,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,62,0,0,Canceled,2015-07-06
"Resort Hotel",1,55,2017,February,8,23,0,2,2,1,0,BB,CHL,"Online TA",TA/TO,0,0,0,H,H,0,"No Deposit",240,NULL,0,Transient,93,0,0,Canceled,2016-12-30
"City Hotel",0,69,2016,April,17,23,2,2,2,0,0,BB,NLD,"Online TA",TA/TO,0,0,0,D,A,0,"No Deposit",9,NULL,0,Transient-Party,108,0,0,Check-Out,2016-04-27
"City Hotel",0,55,2016,April,15,6,0,1,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",56,NULL,0,Transient-Party,104,0,0,Check-Out,2016-04-07
"Resort Hotel",0,7,2016,August,33,11,0,1,2,0,0,BB,ITA,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,231,1,0,Check-Out,2016-08-12
